Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Churn Label
Male,23,No,No,No,0,No,0,7,Offer E,Yes,21.58,No,Yes,Fiber Optic,71,No,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Mailed Check,74.65,544.55,0,10,151.06,3,Yes
Female,51,No,Yes,No,0,Yes,1,14,Offer D,Yes,20.4,Yes,Yes,DSL,30,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.7,941,0,0,285.59999999999997,1,Yes
Male,38,No,No,No,0,No,0,1,None,No,0,No,Yes,DSL,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35.55,35.55,0,0,0,1,Yes
Female,32,No,No,No,0,No,0,2,Offer E,Yes,38.51,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,196.9,0,0,77.02,2,Yes
Male,54,No,Yes,No,0,Yes,4,13,Offer D,Yes,45.6,No,Yes,Fiber Optic,11,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,96.65,1162.85,0,0,592.8000000000001,1,Yes
Male,41,No,No,No,0,No,0,1,Offer E,No,0,No,Yes,DSL,6,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,31.35,31.35,0,80,0,2,Yes
Female,57,No,No,No,0,No,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,172.56,3,Yes
Male,33,No,Yes,No,0,Yes,9,60,Offer B,Yes,47.4,No,Yes,Cable,29,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,94.4,5610.25,0,0,2844,2,Yes
Male,32,No,No,No,0,No,0,1,Offer E,Yes,31.77,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,31.77,2,Yes
Female,55,No,No,No,0,No,0,6,Offer E,Yes,20.36,Yes,Yes,Fiber Optic,10,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,109.9,669.45,0,0,122.16,1,Yes
Male,42,No,No,No,0,No,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,688.8000000000001,2,Yes
Female,19,No,No,No,0,No,0,1,Offer E,Yes,33.48,Yes,Yes,Cable,59,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,60.15,60.15,0,20,33.48,3,Yes
Male,31,No,No,No,0,No,0,7,Offer E,Yes,35.91,Yes,Yes,Fiber Optic,27,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.45,593.45,0,0,251.36999999999998,2,Yes
Male,48,No,Yes,No,0,Yes,1,53,Offer B,Yes,15.77,No,Yes,Fiber Optic,9,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,94.25,4867.95,0,0,835.81,3,Yes
Male,26,No,No,No,0,No,0,1,Offer E,Yes,1.84,Yes,Yes,Fiber Optic,76,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,74.9,0,0,1.84,3,Yes
Female,34,No,No,No,0,No,0,1,Offer E,Yes,32.92,No,Yes,Fiber Optic,3,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.25,80.25,0,0,32.92,2,Yes
Male,58,No,Yes,No,0,Yes,1,17,Offer D,Yes,44.97,No,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69,1149.65,0,0,764.49,2,Yes
Female,62,No,Yes,No,0,Yes,1,11,Offer D,Yes,15.69,Yes,Yes,DSL,12,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,66.35,740.8,0,0,172.59,1,Yes
Male,58,No,No,No,0,No,0,19,Offer D,Yes,20.41,Yes,Yes,Fiber Optic,11,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,86,1532.45,0,30,387.79,1,Yes
Female,37,No,Yes,No,0,Yes,1,3,Offer E,Yes,48.38,No,Yes,Fiber Optic,14,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.3,250.05,0,0,145.14000000000001,1,Yes
Male,40,No,No,No,0,No,0,24,None,Yes,35.93,Yes,Yes,Fiber Optic,5,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,90.55,2282.55,0,0,862.3199999999999,2,Yes
Female,30,No,No,No,0,No,0,2,None,Yes,26.87,Yes,Yes,Fiber Optic,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,143.35,0,0,53.74,1,Yes
Male,47,No,Yes,No,0,Yes,1,1,None,Yes,14.9,No,Yes,DSL,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,45.85,0,0,14.9,2,Yes
Female,36,No,Yes,No,0,Yes,1,16,Offer D,No,0,No,Yes,DSL,29,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.95,810.2,0,0,0,1,Yes
Male,36,No,Yes,No,0,Yes,1,34,None,Yes,13.45,No,Yes,Fiber Optic,12,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.3,2564.3,0,0,457.29999999999995,3,Yes
Male,44,No,No,No,0,No,0,3,None,Yes,38.38,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.95,228.4,0,10,115.14000000000001,2,Yes
Male,49,No,No,No,0,No,0,1,None,Yes,34.37,No,Yes,DSL,28,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.3,45.3,0,0,34.37,3,Yes
Female,47,No,No,No,0,No,0,15,Offer D,Yes,33.14,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.4,289.3,0,0,497.1,1,Yes
Female,46,No,No,No,0,No,0,11,Offer D,Yes,22.36,Yes,Yes,Cable,3,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.15,987.95,0,0,245.95999999999998,1,Yes
Male,23,No,No,No,0,No,0,1,None,Yes,48.03,No,Yes,Cable,73,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,45.05,45.05,0,0,48.03,1,Yes
Female,53,No,No,No,0,No,0,1,None,Yes,14.48,No,Yes,Fiber Optic,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.8,75.8,0,0,14.48,1,Yes
Female,54,No,No,No,0,No,0,7,None,Yes,19.21,No,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.3,523.15,0,10,134.47,1,Yes
Female,53,No,No,No,0,No,0,2,None,No,0,No,Yes,DSL,18,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.9,59.05,0,0,0,2,Yes
Male,43,No,Yes,No,0,Yes,1,59,Offer B,Yes,22.71,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.15,6448.05,0,0,1339.89,1,Yes
Male,20,No,Yes,No,0,Yes,1,8,None,Yes,5.34,No,Yes,Fiber Optic,42,Yes,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,75,632.95,0,0,42.72,1,Yes
Male,35,No,No,No,0,No,0,6,None,Yes,41.16,No,Yes,Cable,10,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,44.75,270.95,0,10,246.95999999999998,2,Yes
Female,41,No,Yes,No,0,Yes,1,11,Offer D,Yes,24.83,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.05,483.7,0,0,273.13,1,Yes
Female,30,No,No,No,0,No,0,70,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0,0,714.7,1,Yes
Female,27,No,No,No,0,No,0,18,None,Yes,24.4,Yes,Yes,Fiber Optic,71,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.2,1553.9,0,0,439.2,3,Yes
Female,35,No,Yes,No,0,Yes,1,34,None,Yes,43.33,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.65,3207.55,0,0,1473.22,2,Yes
Male,54,No,Yes,No,0,Yes,1,47,Offer B,Yes,7.62,Yes,Yes,Fiber Optic,20,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,109.55,5124.55,0,0,358.14,2,Yes
Female,50,No,Yes,No,0,Yes,1,39,None,Yes,35.32,Yes,Yes,Fiber Optic,30,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,89.55,3474.45,0,0,1377.48,2,Yes
Male,42,No,No,No,0,No,0,1,Offer E,Yes,48.96,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.45,19.45,0,0,48.96,2,Yes
Female,34,No,Yes,No,0,No,0,4,Offer E,Yes,12.43,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0,0,49.72,1,Yes
Male,33,No,Yes,No,0,Yes,1,59,Offer B,Yes,10.76,Yes,Yes,Fiber Optic,5,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.5,5961.1,0,0,634.84,3,Yes
Male,44,No,No,No,0,No,0,2,None,Yes,17.25,No,Yes,Cable,3,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,45,96.45,0,30,34.5,1,Yes
Male,35,No,No,No,0,No,0,1,Offer E,Yes,40.51,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.15,20.15,0,0,40.51,2,Yes
Male,28,No,Yes,No,0,No,0,66,Offer A,Yes,7.28,Yes,Yes,Fiber Optic,51,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,105,7133.25,0,0,480.48,1,Yes
Male,58,No,No,No,0,No,0,3,Offer E,Yes,2.88,No,Yes,DSL,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,54.7,169.45,0,0,8.64,1,Yes
Female,49,No,Yes,No,0,Yes,1,14,None,Yes,29.18,Yes,Yes,Fiber Optic,19,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,1258.6,0,0,408.52,2,Yes
Male,38,No,Yes,No,0,Yes,1,10,None,Yes,11.3,No,Yes,Fiber Optic,4,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.95,857.2,0,0,113,1,Yes
Female,47,No,No,No,0,No,0,18,None,Yes,12.67,Yes,Yes,Fiber Optic,23,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.35,1639.3,0,0,228.06,3,Yes
Female,34,No,No,No,0,No,0,9,Offer E,Yes,10.07,Yes,Yes,Fiber Optic,26,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.75,889.9,0,30,90.63,2,Yes
Male,28,No,No,No,0,No,0,4,Offer E,Yes,42.06,Yes,Yes,Fiber Optic,58,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,78.45,330.05,0,0,168.24,1,Yes
Male,43,No,No,No,0,No,0,4,None,Yes,13.02,No,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.2,237.95,0,0,52.08,1,Yes
Male,23,No,Yes,No,0,Yes,1,59,Offer B,No,0,No,Yes,DSL,69,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.05,2452.7,0,0,0,2,Yes
Male,63,No,Yes,No,0,Yes,1,10,None,Yes,30.1,Yes,Yes,Cable,29,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,813.85,0,0,301,2,Yes
Male,39,No,No,No,0,No,0,5,None,Yes,45.25,No,Yes,DSL,22,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,70,347.4,0,10,226.25,2,Yes
Female,51,No,No,No,0,No,0,1,None,Yes,43.49,Yes,Yes,Cable,4,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.95,49.95,0,0,43.49,2,Yes
Female,19,No,Yes,No,0,Yes,1,22,None,Yes,32.11,No,Yes,Fiber Optic,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,1554,0,0,706.42,1,Yes
Male,34,No,Yes,No,0,Yes,1,41,None,Yes,15.91,Yes,Yes,DSL,29,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,73,3001.2,0,0,652.3100000000001,2,Yes
Female,39,No,No,No,0,No,0,64,None,Yes,28.13,Yes,Yes,Fiber Optic,18,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,100.05,6254.2,0,0,1800.32,1,Yes
Female,27,No,No,No,0,No,0,18,None,No,0,No,Yes,DSL,85,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,35,553,0,70,0,2,Yes
Female,20,No,No,No,0,No,0,1,None,Yes,35.01,Yes,Yes,Fiber Optic,52,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,76,76,0,0,35.01,1,Yes
Female,36,No,Yes,No,0,Yes,1,15,None,Yes,28.3,No,Yes,Cable,28,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.3,1308.4,0,0,424.5,1,Yes
Male,62,No,Yes,No,0,Yes,1,15,None,Yes,40.7,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.1,1504.05,0,0,610.5,2,Yes
Male,37,No,No,No,0,No,0,1,None,Yes,28.25,Yes,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.45,50.45,0,0,28.25,3,Yes
Male,20,No,No,No,0,No,0,12,None,Yes,28.16,Yes,Yes,Fiber Optic,42,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,99.95,1132.75,0,120,337.92,1,Yes
Female,50,No,No,No,0,No,0,2,None,Yes,39.62,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.4,193.6,0,0,79.24,1,Yes
Male,28,No,No,No,0,No,0,4,None,Yes,42.33,Yes,Yes,Fiber Optic,76,No,No,No,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,80.8,332.45,0,0,169.32,2,Yes
Female,61,No,Yes,No,0,Yes,1,16,None,Yes,37.83,Yes,Yes,Cable,26,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100,1534.75,0,0,605.28,1,Yes
Male,53,No,No,No,0,No,0,1,None,Yes,15.91,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.55,20.55,0,0,15.91,2,Yes
Male,30,No,No,No,0,No,0,5,None,Yes,36.52,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.3,424.15,0,0,182.60000000000002,1,Yes
Female,19,No,No,No,0,No,0,4,None,Yes,41.12,No,Yes,Fiber Optic,42,No,No,No,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,70.4,281,0,70,164.48,1,Yes
Male,27,No,No,No,0,No,0,37,None,Yes,30.72,Yes,Yes,Fiber Optic,42,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.8,3475.55,0,0,1136.6399999999999,1,Yes
Male,36,No,Yes,No,0,Yes,1,13,None,Yes,2.92,Yes,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4,896.75,0,0,37.96,1,Yes
Female,35,No,No,No,0,No,0,24,None,Yes,37.69,Yes,Yes,Fiber Optic,18,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.75,2407.3,0,0,904.56,1,Yes
Male,52,No,Yes,No,0,Yes,1,61,None,Yes,46.95,Yes,Yes,Cable,21,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106,6547.7,0,0,2863.9500000000003,1,Yes
Male,21,No,No,No,0,No,0,41,None,Yes,47.74,Yes,Yes,Fiber Optic,48,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.7,4346.4,0,0,1957.3400000000001,1,Yes
Female,47,No,No,No,0,No,0,2,Offer E,Yes,42.55,No,Yes,DSL,30,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.05,102.75,0,0,85.1,1,Yes
Female,44,No,Yes,No,0,Yes,1,8,Offer E,Yes,46.13,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.75,145,0,0,369.04,3,Yes
Male,62,No,No,No,0,No,0,17,None,Yes,30.61,No,Yes,Fiber Optic,7,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.65,1313.55,0,0,520.37,2,Yes
Female,49,No,No,No,0,No,0,2,Offer E,No,0,No,Yes,DSL,21,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,42.6,72.4,0,0,0,2,Yes
Female,45,No,No,No,0,No,0,29,None,Yes,1.02,No,Yes,DSL,19,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68.85,1970.5,0,0,29.580000000000002,1,Yes
Male,51,No,Yes,No,0,Yes,1,2,None,Yes,46.92,No,Yes,Fiber Optic,7,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,90,190.05,0,0,93.84,2,Yes
Female,42,No,No,No,0,No,0,14,Offer D,Yes,18.74,No,Yes,Cable,20,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.35,1025.95,0,0,262.35999999999996,2,Yes
Male,56,No,No,No,0,No,0,8,Offer E,Yes,3.27,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,100.85,819.55,0,0,26.16,2,Yes
Female,55,No,Yes,No,0,Yes,1,5,Offer E,Yes,17.08,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,330.15,0,0,85.39999999999999,2,Yes
Female,50,No,Yes,No,0,Yes,1,63,None,Yes,1.93,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,107.5,6873.75,0,60,121.58999999999999,3,Yes
Male,58,No,No,No,0,No,0,1,Offer E,Yes,44.75,No,Yes,Cable,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.85,45.85,0,0,44.75,2,Yes
Female,44,No,Yes,No,0,Yes,1,53,None,Yes,30.09,No,Yes,Fiber Optic,11,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.1,5769.75,0,0,1594.77,3,Yes
Female,20,No,No,No,0,No,0,1,Offer E,Yes,17.23,No,Yes,Fiber Optic,52,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,91.7,91.7,0,0,17.23,3,Yes
Female,39,No,No,No,0,No,0,16,Offer D,Yes,18.99,Yes,Yes,Fiber Optic,30,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.6,1555.65,0,0,303.84,1,Yes
Male,59,No,No,No,0,No,0,1,Offer E,Yes,30.07,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.95,74.95,0,0,30.07,1,Yes
Male,62,No,No,No,0,No,0,66,Offer A,Yes,25.82,No,Yes,Cable,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,99.5,6710.5,0,0,1704.1200000000001,2,Yes
Female,38,No,Yes,No,0,Yes,1,17,Offer D,Yes,5.4,No,Yes,Fiber Optic,8,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,98.6,1704.95,0,0,91.80000000000001,2,Yes
Female,54,No,No,No,0,No,0,7,Offer E,Yes,2.24,No,Yes,DSL,22,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,59.5,415.95,0,0,15.680000000000001,3,Yes
Female,53,No,Yes,No,0,Yes,1,42,None,Yes,34.02,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,77.95,3384,0,0,1428.8400000000001,1,Yes
Male,33,No,No,No,0,No,0,30,None,Yes,30.06,No,Yes,Fiber Optic,19,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.25,2755.35,0,0,901.8,2,Yes
Female,51,No,No,No,0,No,0,15,Offer D,Yes,47.57,Yes,Yes,DSL,26,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64.65,994.55,0,0,713.55,1,Yes
Male,34,No,Yes,No,0,Yes,1,67,Offer A,Yes,28.4,Yes,Yes,Cable,10,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,87.4,5918.8,0,0,1902.8,2,Yes
Female,32,No,No,No,0,No,0,35,None,Yes,19.07,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.45,3029.1,0,0,667.45,1,Yes
Female,21,No,Yes,No,0,Yes,1,56,None,Yes,19.16,Yes,Yes,Fiber Optic,48,No,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,98.25,5508.35,0,150,1072.96,1,Yes
Female,46,No,Yes,No,0,Yes,1,9,Offer E,Yes,31.75,No,Yes,Fiber Optic,25,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,655.9,0,0,285.75,3,Yes
Male,55,No,No,No,0,No,0,48,None,Yes,24.73,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,106.1,5082.8,0,0,1187.04,1,Yes
Female,23,No,No,No,0,No,0,34,None,Yes,7.99,Yes,Yes,Fiber Optic,76,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,109.8,3587.25,0,0,271.66,1,Yes
Male,61,No,Yes,No,0,Yes,1,11,Offer D,Yes,13.33,No,Yes,Fiber Optic,19,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.5,868.5,0,50,146.63,1,Yes
Female,30,No,No,No,0,No,0,1,Offer E,Yes,34.47,Yes,Yes,Fiber Optic,59,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,85.8,85.8,0,0,34.47,3,Yes
Female,19,No,Yes,No,0,Yes,1,3,Offer E,Yes,44.46,No,Yes,DSL,51,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,44.3,134.5,0,0,133.38,2,Yes
Male,37,No,Yes,No,0,No,0,50,None,Yes,20.88,Yes,Yes,Fiber Optic,13,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,105.95,5341.8,0,0,1044,1,Yes
Male,32,No,No,No,0,No,0,5,Offer E,Yes,31.14,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.75,324.6,0,0,155.7,1,Yes
Male,44,No,Yes,No,0,Yes,1,51,None,Yes,21.08,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,4812.75,0,0,1075.08,1,Yes
Female,57,No,No,No,0,No,0,46,None,Yes,6.18,Yes,Yes,Cable,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,96.05,4399.5,0,80,284.28,2,Yes
Female,41,No,Yes,No,0,Yes,1,41,None,Yes,5.01,Yes,Yes,Fiber Optic,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.6,4594.95,0,0,205.41,1,Yes
Female,37,No,No,No,0,No,0,29,None,Yes,44.33,No,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.9,2384.15,0,0,1285.57,2,Yes
Female,35,No,Yes,No,0,Yes,1,26,None,Yes,22.33,Yes,Yes,DSL,13,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1616.15,0,0,580.5799999999999,2,Yes
Female,31,No,No,No,0,No,0,1,Offer E,No,0,No,Yes,DSL,8,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,0,0,0,3,Yes
Male,46,No,No,No,0,No,0,3,Offer E,Yes,14.28,Yes,Yes,Fiber Optic,21,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.3,264.8,0,0,42.839999999999996,1,Yes
Female,41,No,Yes,No,0,Yes,1,66,Offer A,Yes,48.77,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,102.45,6615.15,0,130,3218.82,1,Yes
Female,22,No,Yes,No,0,Yes,1,21,Offer D,Yes,38.52,Yes,Yes,Fiber Optic,59,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.4,2200.25,0,0,808.9200000000001,1,Yes
Male,59,No,No,No,0,No,0,1,None,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.71,1,Yes
Male,39,No,No,No,0,No,0,4,None,Yes,28.89,No,Yes,DSL,3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,299.7,0,0,115.56,2,Yes
